Image Name	Actual Class	Predicted Class	Probabilities
l8_17R_00055.jpg	train	train	1.0000
l8_17R_00254.jpg	train	train	1.0000
l8_17R_00163.jpg	train	train	1.0000
l8_17R_00273.jpg	train	train	1.0000
l8_17R_00181.jpg	train	train	1.0000
l8_17R_00245.jpg	train	train	1.0000
l8_17R_00003.jpg	train	train	1.0000
l8_17R_00116.jpg	train	train	1.0000
l8_17R_00000.jpg	train	train	1.0000
l8_17R_00338.jpg	train	train	1.0000
l8_17R_00252.jpg	train	train	1.0000
l8_17R_00102.jpg	train	train	1.0000
l8_17R_00312.jpg	train	train	1.0000
l8_17R_00215.jpg	train	train	1.0000
l8_17R_00217.jpg	train	train	1.0000
l8_17R_00344.jpg	train	train	1.0000
l8_17R_00112.jpg	train	train	1.0000
l8_17R_00179.jpg	train	train	1.0000
l8_17R_00326.jpg	train	train	1.0000
l8_17R_00318.jpg	train	train	1.0000
l8_17R_00234.jpg	train	train	1.0000
l8_17R_00219.jpg	train	train	1.0000
l8_17R_00224.jpg	train	train	1.0000
l8_17R_00167.jpg	train	train	1.0000
l8_17R_00314.jpg	train	train	1.0000
l8_17R_00363.jpg	train	train	1.0000
l8_17R_00101.jpg	train	train	1.0000
l8_17R_00395.jpg	train	train	1.0000
l8_17R_00296.jpg	train	train	1.0000
l8_17R_00188.jpg	train	train	1.0000
l8_17R_00294.jpg	train	train	1.0000
l8_17R_00222.jpg	train	train	1.0000
l8_17R_00156.jpg	train	train	1.0000
l8_17R_00056.jpg	train	train	1.0000
l8_17R_00066.jpg	train	train	1.0000
l8_17R_00128.jpg	train	train	1.0000
l8_17R_00004.jpg	train	train	1.0000
l8_17R_00374.jpg	train	train	1.0000
l8_17R_00051.jpg	train	train	1.0000
l8_17R_00030.jpg	train	train	1.0000
l8_17R_00193.jpg	train	train	1.0000
l8_17R_00157.jpg	train	train	1.0000
l8_17R_00221.jpg	train	train	1.0000
l8_17R_00358.jpg	train	train	1.0000
l8_17R_00042.jpg	train	train	1.0000
l8_17R_00334.jpg	train	train	1.0000
l8_17R_00072.jpg	train	train	1.0000
l8_17R_00375.jpg	train	train	1.0000
l8_17R_00094.jpg	train	train	1.0000
l8_17R_00213.jpg	train	train	1.0000
l8_17R_00048.jpg	train	train	1.0000
l8_17R_00144.jpg	train	train	1.0000
l8_17R_00006.jpg	train	train	1.0000
l8_17R_00079.jpg	train	train	1.0000
l8_17R_00333.jpg	train	train	1.0000
l8_17R_00008.jpg	train	train	1.0000
l8_17R_00320.jpg	train	train	1.0000
l8_17R_00237.jpg	train	train	1.0000
l8_17R_00146.jpg	train	train	1.0000
l8_17R_00022.jpg	train	train	1.0000
l8_17R_00387.jpg	train	train	1.0000
l8_17R_00381.jpg	train	train	1.0000
l8_17R_00337.jpg	train	train	1.0000
l8_17R_00020.jpg	train	train	1.0000
l8_17R_00088.jpg	train	train	1.0000
l8_17R_00195.jpg	train	train	1.0000
l8_17R_00024.jpg	train	train	1.0000
l8_17R_00010.jpg	train	train	1.0000
l8_17R_00232.jpg	train	train	1.0000
l8_17R_00125.jpg	train	train	1.0000
l8_17R_00155.jpg	train	train	1.0000
l8_17R_00205.jpg	train	train	1.0000
l8_17R_00309.jpg	train	train	1.0000
l8_17R_00250.jpg	train	train	1.0000
l8_17R_00107.jpg	train	train	1.0000
l8_17R_00261.jpg	train	train	1.0000
l8_17R_00183.jpg	train	train	1.0000
l8_17R_00087.jpg	train	train	1.0000
l8_17R_00349.jpg	train	train	1.0000
